TIME,ID,latitude,longitude,altitude,#WiFi networks,SSID1,MAC1,Frequency1,Signal1,SSID2,MAC2,Frequency2,Signal2,SSID3,MAC3,Frequency3,Signal3,SSID4,MAC4,Frequency4,Signal4,SSID5,MAC5,Frequency5,Signal5,SSID6,MAC6,Frequency6,Signal6,SSID7,MAC7,Frequency7,Signal7,SSID8,MAC8,Frequency8,Signal8,SSID9,MAC9,Frequency9,Signal9,SSID10,MAC10,Frequency10,Signal10
2017-10-31 12:23:25,MPIS24.65-25.1-19,32.10383152,35.20698681,669.0,10,KCG_54,00:25:86:cc:07:b2,2,-65,Ariel_University,ec:8c:a2:26:ae:28,6,-66,AUC_54_R,00:25:86:cc:00:f8,5,-67,island-154470,1c:b9:c4:55:44:73,8,-71,Ariel_University,1c:b9:c4:16:06:38,6,-74,Ariel_University,ec:8c:a2:26:b0:58,11,-75,Ariel_University,ec:8c:a2:08:7a:18,1,-76,DIRECT-80-HP DeskJet 3630 series,70:5a:0f:5c:b0:0b,6,-76,Ariel_University,1c:b9:c4:15:1f:58,1,-76,Ariel_University,ec:8c:a2:08:a3:b8,1,-79
2017-10-31 12:23:27,MPIS24.65-25.1-19,32.10386229,35.20699744,670.0,3,Ariel_University,1c:b9:c4:16:ec:58,1,-85,Ariel_University,ec:8c:a2:08:a3:38,6,-86,Ariel_University,f0:b0:52:3e:d1:e8,11,-89
2017-10-31 12:23:29,MPIS24.65-25.1-19,32.10388357,35.20700491,671.0,2,Ariel_University,1c:b9:c4:16:28:88,11,-82,Ariel_University,1c:b9:c4:14:38:28,11,-85
2017-10-31 12:23:31,MPIS24.65-25.1-19,32.10390785,35.20700856,671.0,2,Ariel_University,f0:b0:52:3e:d4:58,11,-81,Ariel_University,1c:b9:c4:15:36:78,11,-87
2017-10-31 12:23:33,MPIS24.65-25.1-19,32.10392958,35.207015,671.0,1,Ariel_University,ec:8c:a2:09:8c:a8,11,-87
2017-10-31 12:23:37,MPIS24.65-25.1-19,32.10394294,35.2070428,673.0,2,Ariel_University,f0:b0:52:3e:c7:88,1,-85,PEPWAVE_5071,00:1a:dd:e3:08:84,9,-89
2017-10-31 12:23:41,MPIS24.65-25.1-19,32.10396407,35.20707118,674.0,2,AUC_54_R,00:25:86:cc:00:f8,5,-62,,00:27:22:f3:e1:f4,11,-76
2017-10-31 12:23:43,MPIS24.65-25.1-19,32.10398098,35.20708019,674.0,1,,00:27:22:f3:e1:da,6,-80
2017-10-31 12:23:45,MPIS24.65-25.1-19,32.10399617,35.20709151,674.0,4,Ariel_University,1c:b9:c4:15:1f:58,1,-69,Ariel_University,1c:b9:c4:14:38:28,11,-77,Ariel_University,ec:8c:a2:08:a3:38,6,-81,DIRECT-70-HP DeskJet 3630 series,30:e1:71:0d:e0:71,6,-92
2017-10-31 12:23:47,MPIS24.65-25.1-19,32.10398292,35.20708571,674.0,2,,00:27:22:f3:e1:da,6,-65,Ariel_University,1c:b9:c4:16:cd:68,1,-88
2017-10-31 12:23:49,MPIS24.65-25.1-19,32.10397322,35.20709055,674.0,1,Ariel_University,1c:b9:c4:15:36:88,11,-71
2017-10-31 12:23:51,MPIS24.65-25.1-19,32.10397053,35.20708835,674.0,3,Ariel_University,1c:b9:c4:15:36:78,11,-81,Ariel_University,ec:8c:a2:0a:11:88,1,-84,Ariel_University,ec:8c:a2:08:7b:88,6,-86
2017-10-31 12:23:52,MPIS24.65-25.1-19,32.10397769,35.20707998,675.0,2,Ariel_University,ec:8c:a2:08:a3:38,6,-76,afikim-wifi,34:0b:01:19:21:42,7,-83
2017-10-31 12:24:00,MPIS24.65-25.1-19,32.10406908,35.20707142,676.0,2,Ariel_University,1c:b9:c4:15:1f:58,1,-64,Ariel_University,ec:8c:a2:08:a9:28,11,-90
2017-10-31 12:24:02,MPIS24.65-25.1-19,32.10408465,35.20706203,676.0,2,Ariel_University,ec:8c:a2:26:d3:c8,1,-88,Ariel_University,f0:b0:52:3e:d0:38,6,-90
2017-10-31 12:24:04,MPIS24.65-25.1-19,32.1041111,35.2070588,677.0,1,,00:27:22:f3:e0:7b,6,-90
2017-10-31 12:24:06,MPIS24.65-25.1-19,32.10414183,35.20705315,677.0,2,Ariel_University,1c:b9:c4:14:2b:a8,6,-82,Ariel_University,1c:b9:c4:15:1c:b8,1,-85
2017-10-31 12:24:07,MPIS24.65-25.1-19,32.10415414,35.20705889,678.0,1,Ariel_University,1c:b9:c4:15:fd:48,1,-86
2017-10-31 12:24:09,MPIS24.65-25.1-19,32.10417663,35.20706247,678.0,3,Ariel_University,1c:b9:c4:15:0e:b8,6,-88,,00:27:22:f3:e0:f6,1,-90,,00:27:22:f3:e2:16,1,-91
2017-10-31 12:24:13,MPIS24.65-25.1-19,32.10422216,35.20709405,676.0,1,Ariel_University,f0:b0:52:3e:d0:38,6,-85
2017-10-31 12:24:17,MPIS24.65-25.1-19,32.10426659,35.20711391,675.0,1,,00:27:22:f3:e0:83,11,-81
2017-10-31 12:24:19,MPIS24.65-25.1-19,32.10429241,35.20709964,676.0,2,Ariel_University,1c:b9:c4:15:0e:b8,6,-83,Ariel_University,1c:b9:c4:15:3d:78,11,-86
2017-10-31 12:24:21,MPIS24.65-25.1-19,32.10431714,35.20710875,676.0,2,,00:27:22:f3:e0:83,11,-67,Ariel_University,ec:8c:a2:26:d3:c8,1,-78
2017-10-31 12:24:23,MPIS24.65-25.1-19,32.10433727,35.20711065,677.0,2,Ariel_University,1c:b9:c4:15:3d:78,11,-81,Ariel_University,ec:8c:a2:08:ad:e8,6,-88
2017-10-31 12:24:25,MPIS24.65-25.1-19,32.10435993,35.20712527,676.0,2,Ariel_University,1c:b9:c4:15:3d:78,11,-76,Ariel_University,ec:8c:a2:26:d2:c8,11,-85
2017-10-31 12:24:27,MPIS24.65-25.1-19,32.10438313,35.20713002,676.0,5,Ariel_University,ec:8c:a2:26:d3:c8,1,-72,Ariel_University,1c:b9:c4:15:0e:b8,6,-76,Ariel_University,f0:b0:52:3e:da:18,11,-82,,00:27:22:f3:e0:d0,11,-84,Ariel_University,f0:b0:52:3e:cc:18,1,-88
2017-10-31 12:24:29,MPIS24.65-25.1-19,32.10440782,35.20713627,676.0,2,Ariel_University,ec:8c:a2:08:92:48,6,-74,55_1_29,74:ea:3a:af:9f:aa,1,-87
2017-10-31 12:24:33,MPIS24.65-25.1-19,32.10445425,35.20715614,677.0,3,Ariel_University,1c:b9:c4:15:0e:b8,6,-71,Ariel_University,f0:b0:52:3e:d0:38,6,-71,Ariel_University,ec:8c:a2:08:aa:d8,6,-86
2017-10-31 12:24:35,MPIS24.65-25.1-19,32.10447994,35.20715722,676.0,1,Ariel_University,f0:b0:52:3e:d1:e8,11,-78
2017-10-31 12:24:37,MPIS24.65-25.1-19,32.10450651,35.20715314,677.0,1,,00:27:22:f3:e0:7b,6,-79
2017-10-31 12:24:39,MPIS24.65-25.1-19,32.10451586,35.20716312,676.0,3,Ariel_University,ec:8c:a2:26:d2:c8,11,-78,,00:27:22:f3:e0:f6,1,-84,Ariel_University,f0:b0:52:3e:c7:a8,1,-87
2017-10-31 12:24:41,MPIS24.65-25.1-19,32.10452861,35.20716741,676.0,1,Ariel_University,f0:b0:52:3e:da:18,11,-77
2017-10-31 12:24:43,MPIS24.65-25.1-19,32.10455348,35.20717028,676.0,2,Ariel_University,f0:b0:52:3e:cc:18,1,-81,Ariel_University,f0:b0:52:3e:d8:98,11,-88
2017-10-31 12:24:45,MPIS24.65-25.1-19,32.10457847,35.20718597,675.0,2,Smart-Class 2.4,1c:b9:c4:16:05:d8,9,-91,,00:1a:2f:7f:6b:70,13,-93
